credential_id,credential_name,pathway_node,pathway_level,pathway_tracks,match_score,match_reasons,mapping_status,evidence_status,record_type,official_url
SF-008,Large Language Models,llm,Advanced,ai-engineering,85,llm;large language models,candidate,Current-catalog signal,credential,https://trailhead.salesforce.com/
SF-007,Responsible Creation of Artificial Intelligence,ai-literacy,Explore,ai-engineering,65,artificial intelligence,candidate,Current-catalog signal,credential,https://trailhead.salesforce.com/
AI-019,Cloud Computing Fundamentals,cloud-fundamentals,Foundation,cloud-devops,80,cloud,candidate,Current-catalog signal,credential,https://skillsbuild.org/learning-catalog
C-008,Cyber Threat Management,security-fundamentals,Intermediate,cybersecurity,55,cybersecurity,candidate,Current-catalog signal,credential,https://www.netacad.com/
C-008,Cyber Threat Management,networking-basics,Foundation,networking,40,networking,candidate,Current-catalog signal,credential,https://www.netacad.com/
C-005,Cybersecurity Essentials,security-fundamentals,Intermediate,cybersecurity,80,cybersecurity,candidate,Current-catalog signal,credential,https://www.netacad.com/
C-005,Cybersecurity Essentials,networking-basics,Foundation,networking,40,networking,candidate,Current-catalog signal,credential,https://www.netacad.com/
C-006,Endpoint Security,security-fundamentals,Intermediate,cybersecurity,55,cybersecurity,candidate,Current-catalog signal,credential,https://www.netacad.com/
C-006,Endpoint Security,networking-basics,Foundation,networking,40,networking,candidate,Current-catalog signal,credential,https://www.netacad.com/
C-004,Introduction to Cybersecurity,security-fundamentals,Intermediate,cybersecurity,80,cybersecurity,candidate,Current-catalog signal,credential,https://www.netacad.com/
C-004,Introduction to Cybersecurity,networking-basics,Foundation,networking,40,networking,candidate,Current-catalog signal,credential,https://www.netacad.com/
C-007,Network Defense,security-fundamentals,Intermediate,cybersecurity,55,cybersecurity,candidate,Current-catalog signal,credential,https://www.netacad.com/
C-007,Network Defense,networking-basics,Foundation,networking,40,networking,candidate,Current-catalog signal,credential,https://www.netacad.com/
C-018,Network Security,security-fundamentals,Intermediate,cybersecurity,55,cybersecurity,candidate,Current-catalog signal,credential,https://www.netacad.com/
C-018,Network Security,networking-basics,Foundation,networking,40,networking,candidate,Current-catalog signal,credential,https://www.netacad.com/
AI-013,Cybersecurity Fundamentals,security-fundamentals,Intermediate,cybersecurity,80,cybersecurity,candidate,Current-catalog signal,credential,https://skillsbuild.org/learning-catalog
AI-015,Cybersecurity: On the Defense,security-fundamentals,Intermediate,cybersecurity,80,cybersecurity,candidate,Current-catalog signal,credential,https://skillsbuild.org/learning-catalog
AI-014,Getting Started with Cybersecurity,security-fundamentals,Intermediate,cybersecurity,80,cybersecurity,candidate,Current-catalog signal,credential,https://skillsbuild.org/learning-catalog
SF-015,Secure Client-Side Development,security-fundamentals,Intermediate,cybersecurity,55,cybersecurity,candidate,Current-catalog signal,credential,https://trailhead.salesforce.com/
SF-015,Secure Client-Side Development,appsec,Advanced,cybersecurity,55,appsec,candidate,Current-catalog signal,credential,https://trailhead.salesforce.com/
SF-013,Security Basics,security-fundamentals,Intermediate,cybersecurity,55,cybersecurity,candidate,Current-catalog signal,credential,https://trailhead.salesforce.com/
SF-014,User Authentication,security-fundamentals,Intermediate,cybersecurity,55,cybersecurity,candidate,Current-catalog signal,credential,https://trailhead.salesforce.com/
C-014,Exploring IoT with Packet Tracer,networking-basics,Foundation,networking,40,networking,candidate,Current-catalog signal,credential,https://www.netacad.com/
C-012,Introduction to IoT,networking-basics,Foundation,networking,40,networking,candidate,Current-catalog signal,credential,https://www.netacad.com/
C-013,Introduction to IoT and Digital Transformation,networking-basics,Foundation,networking,40,networking,candidate,Current-catalog signal,credential,https://www.netacad.com/
C-019,IoT Fundamentals,networking-basics,Foundation,networking,40,networking,candidate,Current-catalog signal,credential,https://www.netacad.com/
C-016,English for IT 1,networking-basics,Foundation,networking,40,networking,candidate,Current-catalog signal,credential,https://www.netacad.com/
C-017,English for IT 2,networking-basics,Foundation,networking,40,networking,candidate,Current-catalog signal,credential,https://www.netacad.com/
H-013,Integrating With HubSpot I: Foundations,apis,Intermediate,python-software,55,api,candidate,Current-catalog signal,credential,https://academy.hubspot.com/certification-overview
AI-018,Information Technology Fundamentals,it-foundations,Beginner,cybersecurity;networking,65,information technology,candidate,Current-catalog signal,credential,https://skillsbuild.org/learning-catalog
AI-011,Software Development Using IBM Granite,programming-basics,Beginner,python-software;robotics-automation,65,software development,candidate,Current-catalog signal,credential,https://skillsbuild.org/learning-catalog
C-011,Exploring Networks with Packet Tracer,networking-basics,Foundation,networking,55,networking,candidate,Current-catalog signal,credential,https://www.netacad.com/
C-010,Getting Started with Cisco Packet Tracer,networking-basics,Foundation,networking,55,networking,candidate,Current-catalog signal,credential,https://www.netacad.com/
C-003,Networking Basics,networking-basics,Foundation,networking,80,networking,candidate,Current-catalog signal,credential,https://www.netacad.com/
C-009,Networking Devices and Initial Configuration,networking-basics,Foundation,networking,80,networking,candidate,Current-catalog signal,credential,https://www.netacad.com/
C-001,Python Essentials 1,python,Foundation,ai-engineering;python-software,80,python,candidate,Current-catalog signal,credential,https://www.netacad.com/
C-001,Python Essentials 1,networking-basics,Foundation,networking,40,networking,candidate,Current-catalog signal,credential,https://www.netacad.com/
C-002,Python Essentials 2,python,Foundation,ai-engineering;python-software,80,python,candidate,Current-catalog signal,credential,https://www.netacad.com/
C-002,Python Essentials 2,networking-basics,Foundation,networking,40,networking,candidate,Current-catalog signal,credential,https://www.netacad.com/
CAND-7EA824E1A275AB,Microsoft SQL Server для 1С,sql,Foundation,python-software,65,sql,candidate,official-page-extraction,credential-candidate,https://1c.ru/rus/partners/training/uc3/courses.jsp?type=84
CAND-4CD27103A532E0,AD Education programs,pcb-eda,Advanced,embedded-electronics,40,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/education
CAND-E71B2B204FE7E8,Altium Designer Advanced,pcb-eda,Advanced,embedded-electronics,65,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/training/altium-designer-advanced
CAND-FFE14E6C1A3806,Altium Designer Component & Library Management,pcb-eda,Advanced,embedded-electronics,65,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/training/altium-designer-component-library-management
CAND-005FB4A91D2278,Altium Designer Design Rules & Constraint Manager,pcb-eda,Advanced,embedded-electronics,65,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/training/altium-designer-design-rules-constraint-manager
CAND-9DD7794E8B7E06,Altium Designer Essentials,pcb-eda,Advanced,embedded-electronics,65,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/training/altium-designer/essentials
CAND-5F8F7D1E447450,Altium Designer Essentials On-Demand,pcb-eda,Advanced,embedded-electronics,65,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/training/altium-designer/on-demand-essentials
CAND-C1B73AF6F3CE73,Altium Designer Harness Design,pcb-eda,Advanced,embedded-electronics,65,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/training/altium-designer-harness
CAND-6420CC112FCA82,Altium Designer PCB Fundamentals,pcb-eda,Advanced,embedded-electronics,95,pcb;altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/training/altium-designer-pcb-fundamentals-private-instruction
CAND-D789300B471F8F,Altium Designer Schematic Fundamentals,pcb-eda,Advanced,embedded-electronics,65,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/training/altium-designer-schematic-design-private-instruction
CAND-9B2DC87504D517,Altium Education Course Terms And Conditions,pcb-eda,Advanced,embedded-electronics,65,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/education/students
CAND-2030B657D9AD21,Altium Education Programs,pcb-eda,Advanced,embedded-electronics,65,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/education
CAND-D02E598A5DF177,Altium Educator Center,pcb-eda,Advanced,embedded-electronics,65,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/education/educators
CAND-E6C45A4AA81E74,Altium Professional Training,pcb-eda,Advanced,embedded-electronics,65,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/training
CAND-A1B6DCB99A8901,Altium Professional Training Flexible on-demand and instructor-led training courses that help engineers build and advance their PCB design skills,pcb-eda,Advanced,embedded-electronics,95,pcb;altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/training
CAND-A76E6E7BBFEDA9,Altium Student Lab,pcb-eda,Advanced,embedded-electronics,65,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/education/students
CAND-259C2FC7B5AB25,"Altium Training: Loved by Learners, Trusted by Pros",pcb-eda,Advanced,embedded-electronics,65,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/training
CAND-E57CA6094618E1,Altium Workspace Admin Management,pcb-eda,Advanced,embedded-electronics,65,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/training/365#setup-and-use
CAND-957AE72645A4CD,Altium Workspace Admin Training,pcb-eda,Advanced,embedded-electronics,65,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/training
CAND-3CAEE6D8E86DEB,Altium Workspace Admin Training,pcb-eda,Advanced,embedded-electronics,65,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/training/altium-workspace-admin
CAND-BF6E6CB85C6D4C,Altium Workspace Library Management,pcb-eda,Advanced,embedded-electronics,65,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/training/365#library-management
CAND-3F0112408ECB38,Altium Workspace Training Series,pcb-eda,Advanced,embedded-electronics,65,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/training
CAND-5BF3DB55E21310,Altium Workspace Training Series,pcb-eda,Advanced,embedded-electronics,65,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/training/365
CAND-D9CE804070BD51,Altium Workspace User Management,pcb-eda,Advanced,embedded-electronics,65,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/training/365#end-user
CAND-8E796A9E855744,Apply Now,pcb-eda,Advanced,embedded-electronics,40,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/education/scholarships
CAND-D33284E5F6D762,Choose Your Path,pcb-eda,Advanced,embedded-electronics,40,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/training
CAND-D0EE861EAF6582,Choose Your Training,pcb-eda,Advanced,embedded-electronics,40,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/training/altium-workspace-series?promo_name=Workshop-Training-Series-fy26q0-en&promo_position=sticky_top_html&promo_creative=altium_com&TrackingId=OM21
CAND-715F1A1D5BC052,Earn Your Course Certificate,pcb-eda,Advanced,embedded-electronics,40,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/training
CAND-BAD54FDB90A2CE,Education,pcb-eda,Advanced,embedded-electronics,40,altium,candidate,official-page-extraction,credential-candidate,http://www.altium.com/education
CAND-A08B3ED616C1C1,Education & Training,pcb-eda,Advanced,embedded-electronics,40,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/education
CAND-4A212435882CAB,Education & Training,pcb-eda,Advanced,embedded-electronics,40,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/education/students
CAND-0371213568380B,Education & Training,pcb-eda,Advanced,embedded-electronics,40,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/education/educators
CAND-542C558E1D0673,Education & Training,pcb-eda,Advanced,embedded-electronics,40,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/training
CAND-D95513AF860ECF,Educator Center,pcb-eda,Advanced,embedded-electronics,40,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/education/educators
CAND-F1817A87F30341,"Educator Center A comprehensive education platform providing curriculum, software, training, and classroom resources for educators",pcb-eda,Advanced,embedded-electronics,40,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/education/educators
CAND-E4194BED4A7218,Enroll for Free,pcb-eda,Advanced,embedded-electronics,40,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/education/students
CAND-450FCD25F42311,Explore Altium Training Courses,pcb-eda,Advanced,embedded-electronics,65,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/training
CAND-47D9E0995E1DDF,Explore Curriculum,pcb-eda,Advanced,embedded-electronics,40,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/education/students
CAND-B7A4FBCA378458,Explore Educator Programs,pcb-eda,Advanced,embedded-electronics,40,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/education/educators
CAND-CBC733D58017E8,Explore Resources,pcb-eda,Advanced,embedded-electronics,40,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/education/educators/resources
CAND-DF98904A61B368,Explore Student Programs,pcb-eda,Advanced,embedded-electronics,40,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/education/students
CAND-281318392F3AC2,Get Licensing Info,pcb-eda,Advanced,embedded-electronics,40,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/education/educators
CAND-E0D162582840D2,Get Licensing Information,pcb-eda,Advanced,embedded-electronics,40,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/education/educators
CAND-0872EBE659162F,Go To Course Details,pcb-eda,Advanced,embedded-electronics,40,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/training/altium-designer-essentials
CAND-6F4CF37E627B88,Go To Course Details,pcb-eda,Advanced,embedded-electronics,40,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/training/altium-designer-advanced
CAND-11033967615224,Go To Course Details,pcb-eda,Advanced,embedded-electronics,40,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/training/altium-designer/on-demand-essentials
CAND-8A93C817E1C0E1,https://www.altium.com/education/privacy-policy,pcb-eda,Advanced,embedded-electronics,65,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/education/privacy-policy
CAND-B919D10493132C,https://www.altium.com/education/student-licenses,pcb-eda,Advanced,embedded-electronics,65,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/education/student-licenses
CAND-B073BBF7C551DF,Learn on Your Terms With Flexible Training Options,pcb-eda,Advanced,embedded-electronics,40,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/training
CAND-4A8B815F00AF29,Looking for Professional Training?,pcb-eda,Advanced,embedded-electronics,40,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/education
CAND-9ECEC47D35CAA0,Mobile menu,pcb-eda,Advanced,embedded-electronics,40,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/education
CAND-1EBDAC76C061B4,Mobile menu,pcb-eda,Advanced,embedded-electronics,40,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/education/students
CAND-BA3A458896A183,Mobile menu,pcb-eda,Advanced,embedded-electronics,40,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/education/educators
CAND-053C49410E1CFB,Mobile menu,pcb-eda,Advanced,embedded-electronics,40,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/training
CAND-9A0AF5D04D8B66,On-Demand & Live Training to Match Your Learning Style,pcb-eda,Advanced,embedded-electronics,40,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/training
CAND-BAA80B1A7A79F2,PCB Design Curriculum & Certificate,pcb-eda,Advanced,embedded-electronics,70,pcb;altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/education/students
CAND-197523039DF5D0,Professional Training / Certification,pcb-eda,Advanced,embedded-electronics,40,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/training
CAND-2310BFB41A1D32,Resources & Support,pcb-eda,Advanced,embedded-electronics,40,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/education
CAND-280C500D2B649B,Resources & Support,pcb-eda,Advanced,embedded-electronics,40,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/education/students
CAND-32668B035FEC7E,Resources & Support,pcb-eda,Advanced,embedded-electronics,40,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/education/educators
CAND-E7269018FAAAFD,Resources & Support,pcb-eda,Advanced,embedded-electronics,40,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/training
CAND-C8CEDDF88E15EA,Right This Way,pcb-eda,Advanced,embedded-electronics,40,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/training
CAND-245C498A79B865,Search Close,pcb-eda,Advanced,embedded-electronics,40,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/education
CAND-9680B5442A50BE,Search Close,pcb-eda,Advanced,embedded-electronics,40,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/education/students
CAND-2EF735CF6AE690,Search Close,pcb-eda,Advanced,embedded-electronics,40,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/education/educators
CAND-B8B9DC1699BFA2,Search Close,pcb-eda,Advanced,embedded-electronics,40,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/training
CAND-12780A252FB479,See All Courses,pcb-eda,Advanced,embedded-electronics,40,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/training/courses
CAND-EF2A34153B87B8,See Available Courses,pcb-eda,Advanced,embedded-electronics,40,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/training/courses
CAND-359221A6DD84D9,See Educator Programs,pcb-eda,Advanced,embedded-electronics,40,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/education/educators
CAND-882EA8F6C9BF39,See If You Qualify,pcb-eda,Advanced,embedded-electronics,40,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/education/sponsorships
CAND-895E7DD769154F,See Student Programs,pcb-eda,Advanced,embedded-electronics,40,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/education/students
CAND-EE19B2BFE4A276,See What Altium Education Programs Can Do for You,pcb-eda,Advanced,embedded-electronics,65,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/education
CAND-15E59501E3EAE6,See What’s Available,pcb-eda,Advanced,embedded-electronics,40,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/training/courses
CAND-E9DC8838AB805F,Showcase Your Skills with Altium Course Certificates,pcb-eda,Advanced,embedded-electronics,65,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/training
CAND-2DF53608EF1715,Skilled PCB Designers Refine Their Craft Through Altium Training,pcb-eda,Advanced,embedded-electronics,95,pcb;altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/training
CAND-9AFC76664B4226,Skip to main content,pcb-eda,Advanced,embedded-electronics,40,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/education#main-content
CAND-B0E96C05A1F712,Skip to main content,pcb-eda,Advanced,embedded-electronics,40,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/education/students#main-content
CAND-1843E1E31C68B4,Skip to main content,pcb-eda,Advanced,embedded-electronics,40,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/education/educators#main-content
CAND-CC6E4E6DE053DC,Skip to main content,pcb-eda,Advanced,embedded-electronics,40,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/training#main-content
CAND-95AF69EB53DA5A,Solutions,pcb-eda,Advanced,embedded-electronics,40,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/education
CAND-B21D5F5DA2E310,Solutions,pcb-eda,Advanced,embedded-electronics,40,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/education/students
CAND-01473A49BDE3EA,Solutions,pcb-eda,Advanced,embedded-electronics,40,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/education/educators
CAND-DECE271FDEFFD2,Solutions,pcb-eda,Advanced,embedded-electronics,40,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/training
CAND-0C6512D0BB30B9,Start Verification,pcb-eda,Advanced,embedded-electronics,40,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/education/students
CAND-05C50062FF48A5,Start Verification,pcb-eda,Advanced,embedded-electronics,40,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/education/educators
CAND-40615543133619,Student Lab,pcb-eda,Advanced,embedded-electronics,40,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/education/students
CAND-27189481CC4D89,"Student Lab Free access to professional PCB design software, training, and learning resources for students",pcb-eda,Advanced,embedded-electronics,70,pcb;altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/education/students
CAND-1AC107C834EDA7,Thank you for enrolling in Altium’s Free Student License and Education Curriculum.,pcb-eda,Advanced,embedded-electronics,65,altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/education/students
CAND-4441E09FC396FA,"Validate your skills with an official Altium Designer certificate, recognized as a markof expertise in PCB design.",pcb-eda,Advanced,embedded-electronics,95,pcb;altium,candidate,official-page-extraction,credential-candidate,https://www.altium.com/training
CAND-9E86BD0B90CB97,Integrate with major cloud providers,cloud-fundamentals,Foundation,cloud-devops,65,cloud,candidate,official-page-extraction,credential-candidate,https://www.redhat.com/en/partners/certified-cloud-and-service-providers
CAND-B3415491B95050,Red Hat Academy,linux,Foundation,cybersecurity;cloud-devops,65,red hat,candidate,official-page-extraction,credential-candidate,https://www.redhat.com/en/services/training/red-hat-academy
CAND-51455D1CEC5090,Red Hat Certified Engineer exam,linux,Foundation,cybersecurity;cloud-devops,65,red hat,candidate,official-page-extraction,credential-candidate,https://www.redhat.com/en/services/training/ex294-red-hat-certified-engineer-rhce-exam-red-hat-enterprise-linux
CAND-D90924F7C42603,Red Hat Certified OpenShift Administrator exam,linux,Foundation,cybersecurity;cloud-devops,65,red hat,candidate,official-page-extraction,credential-candidate,https://www.redhat.com/en/services/training/red-hat-certified-openshift-administrator-exam
CAND-7C4E195CF6D01E,Red Hat Certified System Administrator exam,linux,Foundation,cybersecurity;cloud-devops,65,red hat,candidate,official-page-extraction,credential-candidate,https://www.redhat.com/en/services/training/ex200-red-hat-certified-system-administrator-rhcsa-exam
CAND-60C31F6BE84697,Red Hat Learning Subscription trial (No cost),linux,Foundation,cybersecurity;cloud-devops,65,red hat,candidate,official-page-extraction,credential-candidate,https://www.redhat.com/en/services/training/learning-subscription/trial
CAND-99E5766B7A497F,Red Hat System Administration I,linux,Foundation,cybersecurity;cloud-devops,65,red hat,candidate,official-page-extraction,credential-candidate,https://www.redhat.com/en/services/training/rh124-red-hat-system-administration-i
CAND-2C5EC935260ACD,"Claude Platform Build Claude into your products. Go from first call to production with the API, Claude Console, and MCP.",apis,Intermediate,python-software,65,api,candidate,official-page-extraction,credential-candidate,https://academy.claude.com/products/platform
CAND-EF5D49E86ABD0D,1 h 30 min team training Confluence Whatâs different in Confluence Cloud vs. Data Center?,cloud-fundamentals,Foundation,cloud-devops,65,cloud,candidate,official-page-extraction,credential-candidate,https://community.atlassian.com/learning/team-training/course:15823488
CAND-57615520517E2C,3 h 15 min team training Rovo Onboard to Rovo: Create AI agents and automation,agents,Professional,ai-engineering,65,ai agents,candidate,official-page-extraction,credential-candidate,https://community.atlassian.com/learning/team-training/course:16905685
CAND-B012A53768A8B4,40 min course Multiple products Explore solutions available across Atlassian Cloud apps,cloud-fundamentals,Foundation,cloud-devops,65,cloud,candidate,official-page-extraction,credential-candidate,https://community.atlassian.com/learning/course/explore-solutions-available-across-atlassian-cloud-apps
CAND-2D4121CEDA00E3,6 h 15 min team training Jira Onboard to Jira Cloud,cloud-fundamentals,Foundation,cloud-devops,65,cloud,candidate,official-page-extraction,credential-candidate,https://community.atlassian.com/learning/team-training/course:15697690
CAND-7EF94B978F4672,certification Confluence Earn the Confluence Administration for Cloud certification,cloud-fundamentals,Foundation,cloud-devops,65,cloud,candidate,official-page-extraction,credential-candidate,https://community.atlassian.com/learning/certifications/confluence-admin-certification
CAND-994C39F128FD20,certification Earn the Atlassian Cloud Fundamentals certificate,cloud-fundamentals,Foundation,cloud-devops,65,cloud,candidate,official-page-extraction,credential-candidate,https://community.atlassian.com/learning/certifications/atlassian-cloud-fundamentals
CAND-B6680CCF816090,certification Jira Earn the Managing Jira Projects for Cloud certification,cloud-fundamentals,Foundation,cloud-devops,65,cloud,candidate,official-page-extraction,credential-candidate,https://community.atlassian.com/learning/certifications/managing-jira-projects-for-cloud-certification
CAND-EF7319E0CE588B,certification Jira Service Management Earn the Managing Jira Service Projects for Cloud certification,cloud-fundamentals,Foundation,cloud-devops,65,cloud,candidate,official-page-extraction,credential-candidate,https://community.atlassian.com/learning/certifications/managing-jira-service-projects-for-cloud
CAND-5765DC42F02A32,certification Multiple products Earn the Jira Administration for Cloud certification,cloud-fundamentals,Foundation,cloud-devops,65,cloud,candidate,official-page-extraction,credential-candidate,https://community.atlassian.com/learning/certifications/jira-administration-for-cloud
CAND-6034AC71519C94,collection Confluence Prepare for the Confluence Administration for Cloud certification,cloud-fundamentals,Foundation,cloud-devops,65,cloud,candidate,official-page-extraction,credential-candidate,https://community.atlassian.com/learning/collection/certification-prep/confluence-administrator-for-cloud-prep
CAND-5FA9FB000430BF,collection Jira Prepare for the Managing Jira Projects for Cloud certification,cloud-fundamentals,Foundation,cloud-devops,65,cloud,candidate,official-page-extraction,credential-candidate,https://community.atlassian.com/learning/collection/certification-prep/managing-jira-projects-for-cloud-prep
CAND-929E8B9A546D42,collection Jira Service Management Prepare for the Managing Jira Service Projects for Cloud certification,cloud-fundamentals,Foundation,cloud-devops,65,cloud,candidate,official-page-extraction,credential-candidate,https://community.atlassian.com/learning/collection/certification-prep/managing-jira-service-projects-for-cloud-prep
CAND-8A01F418D70076,collection Multiple products Prepare for the Jira Administration for Cloud certification,cloud-fundamentals,Foundation,cloud-devops,65,cloud,candidate,official-page-extraction,credential-candidate,https://community.atlassian.com/learning/collection/certification-prep/jira-administration-for-cloud-prep
